"id","season","comment","subtype","elapsed","scorer","assister"
1829,"2008/2009","n","shot",53,"Robbie Keane","Steven Gerrard"
1829,"2008/2009","n","shot",58,"Robbie Keane","Yossi Benayoun"
1830,"2008/2009","dg","disallowed",47,"David Dunn","David Dunn"
1832,"2008/2009","n","shot",40,"Denilson","NA"
1832,"2008/2009","n","shot",49,"Abou Diaby","Emmanuel Eboue"
1832,"2008/2009","p","penalty",64,"Gareth Barry","NA"
1832,"2008/2009","n","shot",90,"Zatyiah Knight","Ashley Young"
1833,"2008/2009","dg","disallowed",10,"Steven Pienaar","Steven Pienaar"
1833,"2008/2009","n","loose_ball",51,"Tim Cahill","Tim Cahill"
1834,"2008/2009","n","shot",15,"Felipe Caicedo","Stephen Ireland"
1834,"2008/2009","n","shot",27,"Felipe Caicedo","Stephen Ireland"
1834,"2008/2009","n","shot",28,"Robinho","Stephen Ireland"
1834,"2008/2009","n","shot",36,"Robinho","Shaun Wright-Phillips"
1834,"2008/2009","n","loose_ball",80,"Craig Fagan","NA"
1834,"2008/2009","n","shot",82,"Stephen Ireland","Robinho"
1835,"2008/2009","n","shot",8,"Nadir Belhadj","Peter Crouch"
1835,"2008/2009","n","shot",20,"Jack Collison","Carlton Cole"
1835,"2008/2009","psm","penalty-missed",45,"Jermain Defoe","NA"
1835,"2008/2009","n","shot",67,"Carlton Cole","Valon Behrami"
1835,"2008/2009","n","shot",70,"Craig Bellamy","NA"
1835,"2008/2009","n","shot",83,"Craig Bellamy","Luis Boa Morte"
1836,"2008/2009","n","shot",83,"Carlos Tevez","Dimitar Berbatov"
1837,"2008/2009","n","direct_freekick",29,"Ryan Taylor","Ryan Taylor"
1837,"2008/2009","p","penalty",73,"Amr Zaki","Amr Zaki"
1837,"2008/2009","p","penalty",88,"Danny Guthrie","Danny Guthrie"
1838,"2008/2009","n","header",3,"Didier Drogba","Joe Cole"
1838,"2008/2009","n","shot",45,"Frank Lampard","Ashley Cole"
1839,"2008/2009","n","distance",70,"Mido","Jeremie Aliadiere"
1839,"2008/2009","o","own-goal",85,"Emanuel Pogatetz","NA"
1839,"2008/2009","n","distance",90,"Steven Gerrard","Robbie Keane"
1840,"2008/2009","n","shot",56,"Kieran Richardson","NA"
1840,"2008/2009","n","loose_ball",74,"Jermaine Jenas","Luka Modric"
1840,"2008/2009","n","header",83,"Djibril Cisse","Daryl Murphy"
1841,"2008/2009","n","header",72,"Michael Owen","Geremi"
1842,"2008/2009","n","shot",65,"Daniel Sturridge","NA"
1842,"2008/2009","n","shot",71,"Elano","Stephen Ireland"
1842,"2008/2009","n","shot",76,"Elano","Stephen Ireland"
1843,"2008/2009","n","shot",39,"Jason Roberts","Steven Reid"
1843,"2008/2009","n","header",40,"Richard Garcia","Craig Fagan"
1844,"2008/2009","n","volley",21,"Brede Hangeland","Jimmy Bullard"
1845,"2008/2009","dg","disallowed",64,"Jack Rodwell","NA"
1845,"2008/2009","n","shot",65,"Leon Osman","Mikel Arteta"
1845,"2008/2009","n","header",76,"Aiyegbeni Yakubu","Joleon Lescott"
1845,"2008/2009","p","penalty",89,"Roman Bednar","NA"
1846,"2008/2009","n","shot",33,"Darren Fletcher","Patrice Evra"
1847,"2008/2009","p","penalty",29,"Liam Lawrence","NA"
1847,"2008/2009","n","shot",63,"John Carew","Ashley Young"
1847,"2008/2009","n","shot",81,"Ricardo Fuller","Liam Lawrence"
1847,"2008/2009","n","shot",84,"Martin Laursen","John Carew"
1847,"2008/2009","n","header",90,"Mamady Sidibe","Rory Delap"
1848,"2008/2009","n","direct_freekick",4,"Deco","Deco"
1849,"2008/2009","n","loose_ball",69,"Dimitar Berbatov","Dimitar Berbatov"
1850,"2008/2009","n","header",81,"William Gallas","Denilson"
1851,"2008/2009","n","header",4,"Abdoulaye Faye","Danny Pugh"
1851,"2008/2009","n","shot",51,"Carlton Cole","Scott Parker"
1851,"2008/2009","n","shot",87,"character(0)","Carlton Cole"
1852,"2008/2009","n","direct_freekick",10,"Mikel Arteta","NA"
1852,"2008/2009","n","deflected",27,"Mikel Arteta","NA"
1852,"2008/2009","n","shot",83,"Dan Gosling","Joleon Lescott"
1853,"2008/2009","n","shot",31,"Steven Gerrard","Yossi Benayoun"
1853,"2008/2009","dg","disallowed",34,"Michael Owen","NA"
1853,"2008/2009","n","header",36,"Sami Hyypiae","Steven Gerrard"
1853,"2008/2009","n","header",45,"David Edgar","Danny Guthrie"
1853,"2008/2009","n","shot",50,"Ryan Babel","NA"
1853,"2008/2009","n","shot",66,"Steven Gerrard","Lucas Leiva"
1853,"2008/2009","p","penalty",75,"Xabi Alonso","NA"
1853,"2008/2009","dg","disallowed",79,"David Ngog","NA"
1854,"2008/2009","n","shot",45,"Bennedict McCarthy,27","Jason Roberts"
1854,"2008/2009","n","header",84,"Jason Roberts","Christopher Samba"
1854,"2008/2009","n","volley",88,"Daniel Sturridge","NA"
1854,"2008/2009","n","shot",90,"Robinho","Daniel Sturridge"
1855,"2008/2009","n","shot",10,"Clint Dempsey","Simon Davies"
1855,"2008/2009","n","shot",50,"Frank Lampard","NA"
1855,"2008/2009","n","direct_freekick",72,"Frank Lampard","NA"
1855,"2008/2009","n","header",89,"Clint Dempsey","Danny Murphy"
1856,"2008/2009","p","penalty",44,"Amr Zaki","Amr Zaki"
1857,"2008/2009","n","header",83,"Roman Bednar","Marek Cech"
1857,"2008/2009","n","shot",90,"Craig Beattie","James Morrison"
1858,"2008/2009","o","own-goal",88,"Kamil Zayatte","Kamil Zayatte"
1859,"2008/2009","n","header",45,"Nemanja Vidic","Dimitar Berbatov"
1859,"2008/2009","n","volley",63,"Wayne Rooney","Patrice Evra"
1859,"2008/2009","n","volley",87,"Dimitar Berbatov","Cristiano Ronaldo"
1860,"2008/2009","n","shot",84,"Nicklas Bendtner","Robin van Persie"
1861,"2008/2009","n","header",19,"Curtis Davies","Gareth Barry"
1861,"2008/2009","o","own-goal",41,"Scott Carson","NA"
1861,"2008/2009","n","deflected",49,"James Morrison","Roman Bednar"
1862,"2008/2009","n","header",18,"Marouane Fellaini","Leighton Baines"
1862,"2008/2009","n","direct_freekick",45,"Mikel Arteta","NA"
1863,"2008/2009","n","shot",45,"Afonso Alves,24","Stewart Downing"
1863,"2008/2009","n","shot",82,"Kenwyne Jones","David Healy"
1864,"2008/2009","n","distance",19,"Michael Owen","Jose Enrique"
1864,"2008/2009","n","shot",29,"Craig Bellamy","Scott Parker"
1864,"2008/2009","n","shot",55,"Carlton Cole","Herita Ilunga"
1864,"2008/2009","n","header",78,"Andy Carroll","Damien Duff"
1865,"2008/2009","n","shot",2,"Clint Dempsey","Danny Murphy"
1865,"2008/2009","n","shot",69,"El Hadji Diouf","Christopher Samba"
1865,"2008/2009","n","shot",85,"Jason Roberts","Morten Gamst Pedersen"
1866,"2008/2009","n","shot",70,"Glen Johnson","NA"
1866,"2008/2009","n","header",75,"Hermann Hreidarsson","Jermaine Pennant"
1867,"2008/2009","dg","disallowed",31,"Ryan Shawcross","Ryan Shawcross"
1868,"2008/2009","n","header",90,"Maynor Figueroa","Ryan Taylor"
1869,"2008/2009","n","distance",68,"Steven Gerrard","Albert Riera"
1869,"2008/2009","n","header",87,"Tim Cahill","Mikel Arteta"
1870,"2008/2009","n","header",11,"Danny Collins","Carlos Edwards"
1870,"2008/2009","n","header",60,"James Milner","Ashley Young"
1870,"2008/2009","p","penalty",80,"Gareth Barry","NA"
1871,"2008/2009","n","shot",59,"David Nugent","Armand Traore"
1871,"2008/2009","n","shot",70,"Jermain Defoe","Luka Modric"
1872,"2008/2009","n","shot",7,"David Di Michele","NA"
1872,"2008/2009","n","distance",22,"Paul Konchesky","Danny Murphy"
1872,"2008/2009","dg","disallowed",50,"David Di Michele","NA"
1872,"2008/2009","p","penalty",60,"Mark Noble","NA"
1872,"2008/2009","n","shot",76,"Carlton Cole","David Di Michele"
1873,"2008/2009","n","distance",53,"Pablo Zabaleta","Pablo Zabaleta"
1874,"2008/2009","p","penalty",61,"Bennedict McCarthy,27","NA"
1874,"2008/2009","n","shot",66,"Jason Roberts","Morten Gamst Pedersen"
1874,"2008/2009","n","shot",86,"Jason Roberts","Morten Gamst Pedersen"
1875,"2008/2009","n","header",90,"Dimitar Berbatov","Carlos Tevez"
1876,"2008/2009","n","deflected",4,"Chris Brunt","NA"
1876,"2008/2009","n","deflected",54,"Robert Koren","Marc-Antoine Fortune"
1876,"2008/2009","n","shot",67,"Robert Koren","Chris Brunt"
1877,"2008/2009","n","header",29,"Emmanuel Adebayor","Robin van Persie"
1877,"2008/2009","n","header",65,"Daniel Cousin,20","Bernard Mendy"
1877,"2008/2009","n","shot",82,"Samir Nasri","Robin van Persie"
1877,"2008/2009","n","shot",86,"Nicklas Bendtner","Robin van Persie"
